year,sle,npgo,nps
1956,53.448,-0.11855136660000001,568376.196283747
1957,52.128,-1.112630604,598917.1557714201
1958,53.428,-0.60250857,802012.509265029
1959,51.088,-0.407934934,650914.334820776
1962,53.246153846153845,0.007052860000000005,670292.158089957
1963,53.25925925925926,-0.25572304,633991.5433076599
1964,53.611111111111114,0.583830606,821216.2135889949
1965,53.44074074074074,-0.5988904276,403752.9409941173
1966,54.54074074074074,-0.8297021920000001,686226.2161127641
1967,53.044444444444444,-0.789740146,471159.9324523264
1968,53.30740740740741,-0.568987534,921820.642078422
1969,55.964,-1.0247958959999999,511902.22132475
1970,53.364,0.03207185799999998,670396.503675955
1971,53.545833333333334,0.005233583400000003,646067.9579144779
1972,53.028,-0.2957106226,787545.477439508
1973,54.348,-0.3885109772,897594.6447676201
1974,55.188,-0.23794394880000003,665783.0124565744
1975,54.1695652173913,0.61961578,476899.70283103304
1976,53.84782608695652,1.25881028,803108.593623337
1986,53.94,-1.231724686,1368129.651840451
1987,53.63333333333333,0.156427974,1126615.857997768
1988,54.467999999999996,0.816804682,1234022.870082404
1989,52.752,0.980332932,1235908.644538447
1990,50.075,0.033625196,1312613.901537611
1991,51.170833333333334,-0.8254991340000001,1150561.74594831
1992,52.6,-0.233910026,1221924.308338439
1993,52.336,-1.96981522,1448112.786765859
1994,52.844,-2.13753798,1469638.266186189
1995,52.09130434782609,-1.363949946,1411596.262463229
1996,54.632,-0.580462,1558845.144983636
1997,49.983333333333334,-1.165286716,1477867.6532934601
1998,54.964,0.75120027,1829726.246833675
1999,51.8,1.36949278,1543019.430061248
2000,53.244,1.6101386,1405622.26524123
2001,55.711999999999996,2.47726888,1521157.406105428
2002,55.152,1.94475968,1696100.6346226651
2003,52.075,1.749644516,1797501.392019371
2004,56.6,0.285037166,1380756.2290632608
2005,52.884,-1.213782262,1365352.501824792
2006,53.868,-1.06935897,1166896.143342393
2007,55.276,-0.449710858,1211300.711576118
2008,56.048,0.849134074,844425.836221976
2009,49.4,0.877549272,1054806.118353854
2010,51.76,1.53291972,1210166.149485037
2011,56.548,0.767938886,1232705.302557394
2014,51.93333333333334,-0.673547868,975625.5358115849
2015,52.46666666666667,-0.65618413,1285626.1970274178
